Faction,Word,Word Frequency per Faction,Mean of all Word Frequencies,Standard Deviation of all Word Frequencies,Is a word more or less used?,
BÜNDNIS 90/DIE GRÜNEN,Vorlage,5.44204578099e-05,3.9824657945e-05,1.02387505288e-05,more,
BÜNDNIS 90/DIE GRÜNEN,teilen,0.000194486226271,0.000172956756096,1.45519127353e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Mitarbeiter,0.000116870163493,0.000179654493774,3.45846845491e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Tisch,0.000143634323072,0.000117687732612,2.37676747217e-05,more,
BÜNDNIS 90/DIE GRÜNEN,ernsthaft,0.000132036520588,0.000113533953043,1.30709587077e-05,more,
BÜNDNIS 90/DIE GRÜNEN,mehrer,0.000109733054272,9.53528793048e-05,9.24460208354e-06,more,
BÜNDNIS 90/DIE GRÜNEN,Beck,2.31956049681e-05,4.93373167941e-05,2.48332068201e-05,less,
BÜNDNIS 90/DIE GRÜNEN,rein,0.000873403740916,0.000961625242244,6.11207175635e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Menschenrecht,0.000491568397594,0.000358379396018,8.37713991629e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Gelegenheit,6.24497056835e-05,8.29981641082e-05,1.77360371994e-05,less,
BÜNDNIS 90/DIE GRÜNEN,kritisch,0.000144526461725,0.000126517185314,1.0985125982e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Name,8.02924787359e-05,9.22770957862e-05,1.19290110909e-05,less,
BÜNDNIS 90/DIE GRÜNEN,suchen,0.000269425873091,0.000301034915182,2.27638590779e-05,less,
BÜNDNIS 90/DIE GRÜNEN,tätig,0.000301542864586,0.000338558087753,2.77806861027e-05,less,
BÜNDNIS 90/DIE GRÜNEN,verändern,6.60182602939e-05,4.97379551866e-05,9.777896869e-06,more,
BÜNDNIS 90/DIE GRÜNEN,hierzu,5.44204578099e-05,5.98104614492e-05,4.60723900175e-06,less,
BÜNDNIS 90/DIE GRÜNEN,drittens,1.51663570946e-05,2.00519522413e-05,4.13170264135e-06,less,
BÜNDNIS 90/DIE GRÜNEN,schlagen,0.000307787835154,0.0002819485562,2.3881608977e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Legislaturperiode,7.58317854728e-05,9.57746011612e-05,1.72074610483e-05,less,
BÜNDNIS 90/DIE GRÜNEN,ehemalig,8.20767560411e-05,9.21910753364e-05,9.69369259557e-06,less,
BÜNDNIS 90/DIE GRÜNEN,kümmern,4.54990712837e-05,6.70642542697e-05,1.4083905388e-05,less,
BÜNDNIS 90/DIE GRÜNEN,längst,0.000164153512082,0.000122068878882,3.30959780159e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Bau,0.00031670922168,0.00026346247468,3.11383039206e-05,more,
BÜNDNIS 90/DIE GRÜNEN,folgend,8.38610333464e-05,0.000108855515409,1.80333045633e-05,less,
BÜNDNIS 90/DIE GRÜNEN,damalig,7.67239241254e-05,9.52241685196e-05,1.41848137095e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Umwelt,0.000337228410691,0.000274907893588,4.65342920435e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Einrichtung,8.56453106516e-05,0.000113127205244,1.58140114611e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Fällen,9.81352517883e-05,8.20213907313e-05,1.35998375475e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Beschäftigung,0.000119546579451,0.000197230155113,5.01796865611e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Merkel,0.000227495356418,0.000137082681152,8.16579023569e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Energiewende,0.000140065768461,7.52168730869e-05,3.46173427783e-05,more,
